topic_id	x	y	z
82	-4.0425653	6.3110685	11.340738
83	3.5899448	-1.2000486	-1.1570123
84	0.0130661335	5.273536	10.927417
85	-0.6143593	2.449373	-6.5778303
86	4.2900763	14.893825	7.114859
87	8.813817	-5.177154	6.961159
88	2.7909825	-3.573427	2.81745
89	1.1629591	-1.9375696	6.4667864
90	9.7464285	12.790655	9.450865
91	-11.136258	6.143077	7.428794
92	9.730046	12.77441	9.434604
93	14.379746	0.67729515	5.718567
94	4.2622113	-5.4477835	3.743179
95	0.4611663	5.198666	10.955317
96	1.3995878	8.417162	3.1338515
97	-0.44837824	2.6155245	-6.743839
98	-2.485394	-3.3793454	2.654206
99	11.684956	5.855728	0.8474813
100	9.6657095	12.72394	9.380629
101	5.408888	-0.85131663	-8.037531
102	10.974243	2.4804811	17.273952
103	3.7182775	8.077468	13.938861
104	3.7302363	8.077443	13.917303
105	4.0579867	11.897276	1.6232967
106	4.3066134	14.909544	7.1286955
107	0.5251041	5.152261	10.914979
108	9.564851	6.371717	6.2027655
109	2.635886	1.0193217	0.293697
110	9.465934	12.561738	9.209306
111	14.359079	0.65640223	5.697822
112	2.512936	0.97344536	-0.04951692
113	-2.484429	-2.6272821	2.9773104
114	2.635204	1.034812	0.27219197
115	-2.5429726	-2.9589367	2.8496888
116	-5.5698333	3.273217	8.041298
117	-4.04255	6.3111196	11.340807
118	14.361693	5.6499314	6.613549
119	0.14898555	13.496261	4.9547706
120	-2.5483985	-3.222335	2.7007875
121	13.955488	-1.2810509	0.96307516
122	-0.5434653	7.018946	0.77571714
123	-0.53694814	7.013043	0.78263456
124	-0.48871458	8.568782	-0.73658043
125	-5.657243	10.45696	-2.64413
126	4.2809525	14.885229	7.1073194
127	3.426016	8.171226	14.3847065
128	-5.6567535	10.455717	-2.6443279
129	9.722587	12.767877	9.427671
130	0.206739	13.554614	4.8969707
131	-5.4986496	15.17472	0.18311724
132	0.8934552	4.963559	10.93799
133	-5.482409	15.158527	0.19935392
134	11.125505	2.330468	17.12626
135	7.1275315	7.9306626	0.86547685
136	1.4417158	14.810235	7.7341366
137	13.955494	-1.281085	0.9630724
138	-1.2965556	-7.767608	8.614457
139	14.387189	0.68458545	5.726044
140	3.0737193	8.094881	14.586847
141	4.8019032	3.4683957	14.766361
142	14.183954	7.9254684	3.420619
143	4.0580025	11.897381	1.6232954
144	8.7476	10.32048	3.6333666
145	-5.444667	3.1442516	7.9093966
146	-5.6566715	10.4555235	-2.6443536
147	6.4580355	-0.577325	7.0442634
148	11.685545	5.8556995	0.8477515
149	14.362057	5.6502786	6.613898
150	8.813837	-5.177166	6.961166
151	-2.5307813	-2.798651	2.8973813
152	2.508495	0.97107404	-0.056276903
153	11.700332	-2.9758716	2.594199
154	10.318529	2.2422462	-1.989339
155	11.699608	-2.9765768	2.594962
156	14.238701	7.9802327	3.4754713
157	-2.3901267	5.937056	-1.9900366
158	9.423376	6.2321563	6.0613155
159	-4.79065	5.0289454	-1.3811884
160	-11.129915	6.1468883	7.4327216
161	11.308823	-3.210381	10.424791
162	3.4791894	9.289787	8.295579
163	3.589905	-1.2000805	-1.1569822
164	3.5447311	9.223425	8.230822
165	14.151855	7.893625	3.3881464
166	11.038247	2.4172037	17.211979
167	3.589952	-1.2000886	-1.1570183
168	3.4836273	6.997197	5.3598647
169	1.1623297	-1.9381111	6.4671288
170	1.4460858	14.814912	7.7398486
171	7.048656	8.007792	0.94449496
172	4.8019376	3.4683893	14.766399
173	7.105987	7.95236	0.8869987
174	14.150933	7.8931546	3.386758
175	2.6573522	-3.7087936	2.6842546
176	0.1943024	13.542255	4.9092803
177	-2.3901412	5.9370284	-1.9900565
178	0.7370541	5.0549917	10.930157
179	7.2102494	7.8519645	0.78317523
180	10.380267	2.5967748	10.675789
181	3.4350715	8.164892	14.448445
182	-5.6987004	-0.6335169	6.20827
183	6.478489	-0.59871876	7.063608
184	3.5334556	9.235127	8.241637
185	-2.448637	7.2013903	5.7772083
186	1.3994342	8.41736	3.133811
187	-5.698674	-0.6334687	6.2081547
188	8.497555	2.8410106	2.9886413
189	2.6376224	0.9764392	0.49564078
190	7.538517	10.876974	-3.3412786
191	1.1623002	-1.9381325	6.467146
192	2.6339023	0.9762868	0.49401063
193	0.008638125	5.2636247	10.9324
194	0.28719595	13.635737	4.8162313
195	3.5469344	9.221577	8.228656
196	-0.074276276	5.187046	10.982837
197	-5.5639763	3.2664232	8.03397
198	11.370911	6.753322	-1.6723268
199	5.2858334	3.776201	3.0150654
200	0.89238	4.9670486	10.933664
201	5.4427176	0.43869355	3.5557253
202	11.308815	-3.2104096	10.42481
203	3.4631307	18.68932	2.2957816
204	2.4509225	10.016023	-4.210482
205	5.2858696	3.7761674	3.0150461
206	4.2794785	14.883833	7.1060777
207	9.892857	10.444275	9.254848
208	-4.7906423	5.028982	-1.3811983
209	0.21570942	5.188038	10.953602
210	5.4088993	-0.851319	-8.037569
211	10.286998	2.2119572	-1.95685
212	-2.4486344	7.2013497	5.777188
213	14.353932	0.65128064	5.6928535
214	7.529642	10.865181	-3.3643756
215	-5.575663	15.251761	0.10619307
216	2.2539775	0.59547037	0.97935057
217	3.4414823	9.327719	8.33319
218	9.892928	10.444277	9.254881
219	-1.8672194	12.267213	6.7126546
220	10.319333	2.2429762	-1.9902638
221	2.7572505	-3.6070874	2.783961
222	11.704426	-2.9719064	2.589942
223	11.275666	2.1800938	16.97641
224	-0.4453281	2.618606	-6.746984
225	10.380284	2.5967848	10.675791
